tablet_serial,storybook_id,start_time,end_time
6116001510,e,954853201,
6116001510,f,954853234,
6116001510,g,954853278,
6116001510,h,954853312,
6116001510,i,954853348,
6116001510,j,954853414,
6116001510,k,954853467,
6116001510,l,954853493,
6116001510,m,954853537,
6116001510,n,954853564,
6116001510,o,954853597,
6116001510,o,954853685,
6116001510,p,954853708,
6116001510,r,954853755,
6116001510,r,954853792,
6116001510,s,954853798,
6116001510,t,954853879,
6116001510,u,954853915,
6116001510,v,954853940,
6116001510,w,954853965,
6116001510,y,954853994,
6116001510,z,954854036,
6116001510,sh,954854078,
6116001510,ng1,954854117,
6116001510,ng,954854146,
6116001510,ny,954854172,
6116001510,th,954854200,
6116001510,gh,954854276,
6116001510,101,954854305,
6116001510,102,954854335,
6116001510,103,954854363,
6116001510,104,954854408,
6116001510,105,954854468,
6116001510,106,954854501,
6116001510,107,954854563,
6116001510,108,954854596,
6116001510,109,954854629,
6116001510,110,954854664,
6116001510,111,954854697,
6116001510,112,954854735,
6116001510,dh,954854942,
6116001510,dh,954854943,
6116001510,401,955181101,
6116001510,307,955181126,
6116001542,201,947210990,
6116001542,403,947211027,
6116001542,406,947211048,
6116001542,402,947211063,
6116001542,401,947211071,
6116001542,903,947211082,
6116001542,106,947211117,
6116001542,102,947212059,
6116001542,203,947212115,
6116001542,201,947212198,
6116001542,204,947212235,
6116001542,205,947212274,
6116001542,207,947212330,
6116001542,106,947212379,
6116001542,206,947212436,
6116001542,302,947212525,
6116001542,104,947212648,
6116001542,103,947212740,
6116001542,101,947212776,
6116001542,202,947212831,
6116001542,903,947213721,
6116001542,903,947213763,
6116001542,912,947213940,
6116001542,911,947214018,
6116001542,106,947216878,
6116001542,106,947216882,
6116001568,ny,947170709,
6116001568,102,947170735,
6116001568,sh,947170763,
6116001568,sh,947170804,
6116001568,ng1,947170814,
6116001568,ng,947170838,
6116001568,ny,947170867,
6116001568,103,947517339,
6116001568,105,947517392,
6116001568,106,947517443,
6116001568,206,947517500,
6116001568,403,947517588,
6116001568,203,947517734,
6116001568,g,947517796,
6116001568,f,947519083,
6116001568,303,947519099,
6116001568,305,947519121,
6116001568,303,947519128,
6116001568,305,947519166,
6116001568,402,947519282,
6116001568,310,947519515,
6116001568,a,947522083,
6116001568,b,947522129,
6116001568,ch,947522162,
6116001568,d,947522191,
6116001568,e,947522236,
6116001568,f,947522273,
6116001568,g,947522306,
6116001568,h,947522337,
6116001568,i,947522381,
6116001568,j,947522408,
6116001568,i,947522427,
6116001568,h,947522455,
6116001568,h,947522487,
6116001568,d,947522529,
6116001568,g,947522553,
6116001568,i,947522586,
6116001568,j,947522616,
6116001568,201,947522632,
6116001568,j,947522674,
6116001568,k,947522691,
6116001568,l,947522726,
6116001568,206,947522759,
6116001568,201,947522816,
6116001568,202,947522831,
6116001568,101,947522846,
6116001568,903,947522864,
6116001568,302,947522895,
6116001568,s,947645801,
6116001568,z,947645846,
6116001568,dh,947645889,
6116001568,z,947646075,
6116001568,206,947646201,
6116001568,a,947650148,
6116001568,a,947650302,
6116001568,b,947650311,
6116001568,206,947650417,
6116001568,ch,947650422,
6116001568,d,947650583,
6116001568,104,947650685,
6116001568,e,947650692,
6116001568,103,947650837,
6116001568,f,947650845,
6116001568,g,947650970,
6116001568,i,947651291,
6116001568,h,947651299,
6116001568,h,947663442,
6116001568,i,947663669,
6116001568,j,947663775,
6116001568,k,947663863,
6116001568,l,947663983,
6116001568,m,947664112,
6116001568,n,947664285,
6116001568,o,947664586,
6116001568,o,947664692,
6116001568,p,947664732,
6116001568,r,947664851,
6116001568,r,947664873,
6116001568,r,947664968,
6116001568,205,947665039,
6116001568,203,947665067,
6116001568,301,947665120,
6116001568,305,947665152,
6116001568,304,947665215,
6116001568,104,947665221,
6116001568,201,947668712,
6116001568,307,947668768,
6116001568,502,947668780,
6116001568,307,947670102,
6116001568,305,947670176,
6116001568,206,947670253,
6116001568,106,947670321,
6116001568,402,947670370,
6116001568,401,947670500,
6116001568,303,947670568,
6116001568,406,947670653,
6116001568,g,947670741,
6116001582,407,1194567412,
6116001582,404,1194567555,
6116001582,502,1194567734,
6116001582,503,1194567844,
6116001582,402,1194568178,
6116001582,d,1194643402,
6116001582,a,1194643410,
6116001582,402,1194643443,
6116001582,403,1194643535,
6116001582,404,1194643542,
6116001582,401,1194643579,
6116001582,406,1194643669,
6116001582,407,1194643746,
6116001582,501,1194643850,
6116001582,502,1194644018,
6116001582,502,1194644104,
6116001582,503,1194644160,
6116001582,504,1194644181,
6116001582,505,1194644300,
6116001582,506,1194644416,
6116001582,901,1194644635,
6116001582,506,1194651379,
6116001582,505,1194651655,
6116001582,503,1194651773,
6116001582,502,1194652086,
6116001582,502,1194652101,
6116001582,504,1194652257,
6116001582,d,1194825597,
6116001582,104,1194825633,
6116001582,506,1194825734,
6116001582,902,1194825967,
6116001582,504,1194826015,
6116001586,a,947722457,
6116001586,902,947723938,
6116001586,918,947723975,
6116001586,919,947724046,
6116001586,901,947724091,
6116001586,902,947724144,
6116001586,903,947724158,
6116001586,904,947724202,
6116001586,905,947724255,
6116001586,906,947724309,
6116001586,907,947724412,
6116001586,908,947724457,
6116001586,909,947724504,
6116001586,910,947724543,
6116001586,911,947724615,
6116001586,912,947724680,
6116001586,913,947724718,
6116001586,914,947724767,
6116001586,915,947724799,
6116001586,916,947724855,
6116001586,917,947724915,
6116001586,920,947724958,
6116001586,921,947725000,
6116001586,922,947725046,
6116001586,923,947725084,
6116001586,105,947726477,
6116001586,403,947726497,
6116001586,502,947726619,
6116001586,503,947726802,
6116001586,907,948233961,
6116001586,907,948233985,
6116001630,202,947540795,
6116001630,204,947540843,
6116001630,404,947540877,
6116001630,404,947540948,
6116001630,910,947540969,
6116001630,912,947541056,
6116001630,908,947541088,
6116001630,905,947541149,
6116001630,902,947541260,
6116001630,905,947541328,
6116001630,901,947541335,
6116001630,305,947574583,
6116001630,302,947574590,
6116001630,406,947574636,
6116001630,311,947574737,
6116001630,306,947574748,
6116001630,502,947574888,
6116001630,206,947575063,
6116001630,407,947575149,
